generator,n_assets,n_lint_errors,n_ok,pass_rate,defect_not_watertight,defect_non_manifold,defect_uv_missing,defect_inverted_normals,defect_inconsistent_normals,defect_floating_debris,defect_over_budget,defect_vertex_color_only,faces_median,faces_p90,unity_mobile_triangle_cap,over_unity_mobile_budget,n_fail,heal_full,heal_partial,heal_none,heal_errored,n_introduced_regressions,wall_ms_p50,wall_ms_p90,wall_ms_max
OVERALL,2307,303,2004,0.250998003992016,0.40069860279441116,0.0968063872255489,0.3972055888223553,0.0,0.018463073852295408,0.046906187624750496,0.6192614770459082,0.14920159680638723,77402.0,618084.6000000002,30000,0.7979041916167665,1501,0.4503664223850766,0.4983344437041972,0.051299133910726186,0.0,454,15458.400000000001,45358.25,450462.0
3DTopia-XL,101,0,101,0.297029702970297,0.36633663366336633,0.0,0.0,0.0,0.009900990099009901,0.21782178217821782,0.48514851485148514,0.0,48794.0,77462.0,30000,0.7920792079207921,71,0.4647887323943662,0.4507042253521127,0.08450704225352113,0.0,6,2148.7,24895.3,31778.8
404_GEN,101,101,0,,,,,,,,,,,,,,,,,,,,,,
Hi3DGen,101,0,101,0.0,0.297029702970297,0.0,1.0,0.0,0.0,0.009900990099009901,1.0,0.0,632684.0,1157000.0,30000,1.0,101,0.33663366336633666,0.6633663366336634,0.0,0.0,54,17381.0,32851.9,51615.2
Hunyuan3D-2,101,0,101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,30000,1.0,,,,,,0,137.0,182.2,280.9
Hunyuan3D-2.1,101,0,101,0.9603960396039604,0.019801980198019802,0.019801980198019802,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,40000.0,40000.0,30000,0.9900990099009901,4,0.75,0.0,0.25,0.0,0,279.3,374.5,1569.2
IM-MA,101,0,101,0.0,0.8415841584158416,0.5346534653465347,1.0,0.0,0.039603960396039604,0.16831683168316833,0.0,1.0,600.0,761.0,30000,0.0,101,0.2871287128712871,0.7128712871287128,0.0,0.0,2,2713.7,4244.4,6198.9
InstantMesh,101,0,101,0.0,0.10891089108910891,0.019801980198019802,1.0,0.0,0.1485148514851485,0.13861386138613863,0.8217821782178217,0.0,74500.0,151556.0,30000,0.9504950495049505,101,0.6138613861386139,0.38613861386138615,0.0,0.0,32,16835.4,26118.5,37614.7
LGM,101,101,0,,,,,,,,,,,,,,,,,,,,,,
MeshFormer,93,0,93,0.0,0.26881720430107525,0.0,1.0,0.0,0.0,0.010752688172043012,1.0,0.0,96892.0,99748.4,30000,1.0,93,0.1935483870967742,0.8064516129032258,0.0,0.0,75,16881.3,35475.46,178076.9
